eps_s,eps_t,Equilibrium Temperature Difference (T_eq - T_atm)
0.01,0.58,-7.256206528134783
0.01,0.59,-7.374205854001843
0.01,0.6,-7.4912172002206034
0.01,0.61,-7.6072542949988815
0.01,0.62,-7.722330593747131
0.01,0.63,-7.8364592862092195
0.01,0.64,-7.949653303298703
0.01,0.65,-8.061925323782077
0.01,0.66,-8.173287780714816
0.01,0.67,-8.283752867680562
0.01,0.68,-8.3933325448279
0.01,0.69,-8.502038544750292
0.01,0.7,-8.60988237811722
0.01,0.71,-8.716875339199362
0.01,0.72,-8.823028511189534
0.01,0.73,-8.928352771368054
0.01,0.74,-9.032858796104563
0.01,0.75,-9.136557065745194
0.01,0.76,-9.239457869279306
0.01,0.77,-9.341571308943458
0.01,0.78,-9.44290730464985
0.01,0.79,-9.543475598292162
0.01,0.8,-9.643285757926094
0.01,0.81,-9.742347181821174
0.01,0.82,-9.840669102429217
0.01,0.83,-9.938260590169591
0.01,0.84,-10.035130557177467
0.01,0.85,-10.131287760908776
0.01,0.86,-10.226740807650799
0.01,0.87,-10.321498155934194
0.01,0.88,-10.415568119843101
0.01,0.89,-10.508958872266419
0.01,0.9,-10.601678447990992
0.01,0.91,-10.69373474678008
0.01,0.92,-10.785135536331666
0.01,0.93,-10.875888455163022
0.01,0.94,-10.966001015418271
0.01,0.95,-11.055480605593004
0.01,0.96,-11.144334493220526
0.01,0.97,-11.232569827416171
0.01,0.98,-11.320193641426613
0.01,0.99,-11.407212855075159
0.01,1.0,-11.493634277150022
0.02,0.0,3.920641363529853
0.02,0.01,3.6936831212594257
0.02,0.02,3.469659034388485
0.02,0.03,3.2485035377532085
0.02,0.04,3.0301531976558067
0.02,0.05,2.8145466204405807
0.02,0.06,2.601624366033377
0.02,0.07,2.391328865919945
0.02,0.08,2.1836043455127196
0.02,0.09,1.9783967504010889
0.02,0.1,1.7756536764454722
0.02,0.11,1.5753243033854005
0.02,0.12,1.3773593317035875
0.02,0.13,1.1817109227093852
0.02,0.14,0.9883326414454245
0.02,0.15,0.7971794024733185
0.02,0.16,0.6082074181462644
0.02,0.17,0.4213741494461374
0.02,0.18,0.23663825905987323
0.02,0.19,0.05395956666939128
0.02,0.2,-0.1267009936690897
0.02,0.21,-0.30538141431344457
0.02,0.22,-0.482118652742372
0.02,0.23,-0.6569486687805011
0.02,0.24,-0.8299064599845565
0.02,0.25,-1.0010260955855301
0.02,0.26,-1.1703407488714674
0.02,0.27,-1.337882728194245
0.02,0.28,-1.5036835066727008
0.02,0.29,-1.6677737505622758
0.02,0.3,-1.8301833464965966
0.02,0.31,-1.9909414275543327
0.02,0.32,-2.1500763982511444
0.02,0.33,-2.3076159585034475
0.02,0.34,-2.4635871266140725
0.02,0.35,-2.6180162613212588
0.02,0.36,-2.7709290829953375
0.02,0.37,-2.922350693924443
0.02,0.38,-3.0723055978670573
0.02,0.39,-3.220817718803687
0.02,0.4,-3.3679104189665736
0.02,0.41,-3.513606516166874
0.02,0.42,-3.657928300493211
0.02,0.43,-3.800897550306047
0.02,0.44,-3.9425355477001744
0.02,0.45,-4.082863093352898
0.02,0.46,-4.221900520827887
0.02,0.47,-4.359667710345434
0.02,0.48,-4.496184102083362
0.02,0.49,-4.631468708924388
0.02,0.5,-4.76554012881661
0.02,0.51,-4.898416556653842
0.02,0.52,-5.0301157957425175
0.02,0.53,-5.160655268856203
0.02,0.54,-5.290052028938362
0.02,0.55,-5.418322769361282
0.02,0.56,-5.545483833903859
0.02,0.57,-5.67155122634972
0.02,0.58,-5.796540619765665
0.02,0.59,-5.9204673654597855
0.02,0.6,-6.043346501673739
0.02,0.61,-6.165192761911783
0.02,0.62,-6.286020583068932
0.02,0.63,-6.405844113252897
0.02,0.64,-6.524677219357443
0.02,0.65,-6.642533494390364
0.02,0.66,-6.75942626455776
0.02,0.67,-6.875368596153464
0.02,0.68,-6.990373302162936
0.02,0.69,-7.104452948725736
0.02,0.7,-7.217619861359424
0.02,0.71,-7.329886130995931
0.02,0.72,-7.441263619824042
0.02,0.73,-7.551763966985391
0.02,0.74,-7.661398594024604
0.02,0.75,-7.770178710246455
0.02,0.76,-7.878115317872698
0.02,0.77,-7.9852192170513945
0.02,0.78,-8.091501010715547
0.02,0.79,-8.196971109291383
0.02,0.8,-8.301639735299773
0.02,0.81,-8.405516927753922
0.02,0.82,-8.50861254649908
0.02,0.83,-8.61093627638951
0.02,0.84,-8.712497631351937
0.02,0.85,-8.813305958332307
0.02,0.86,-8.913370441123448
0.02,0.87,-9.012700104116277
0.02,0.88,-9.111303815877704
0.02,0.89,-9.209190292697599
0.02,0.9,-9.30636810200042
0.02,0.91,-9.402845665669702
0.02,0.92,-9.498631263280345
0.02,0.93,-9.593733035235573
0.02,0.94,-9.688158985851885
