Wavelength(um),Transmittance,SEBSControl,05um,1um,2um,4um,8um
10.86,0.66974534,0.01538147995,0.03645966216,0.03147105762,0.0378353403,0.03194507229,0.02613221467
10.87,0.66191602,0.01554243466,0.03631810431,0.03119158949,0.03762950312,0.03203422318,0.02613221467
10.88,0.66191602,0.01578948296,0.03628814815,0.03122058813,0.03752202499,0.03223479728,0.02633400865
10.89,0.66049251,0.0161384167,0.03638289494,0.03154620878,0.03752690053,0.03250216273,0.0266478278
10.9,0.66049251,0.01660724279,0.03660053377,0.0320273092,0.03765476408,0.03283626309,0.02693914283
10.91,0.66049251,0.01722746923,0.03687977811,0.03249726039,0.03790468046,0.03321477481,0.02738714559
10.92,0.66049251,0.01799429015,0.03712989979,0.03286789151,0.03827544729,0.03365989336,0.02792447871
10.93,0.66049251,0.01886218367,0.03731744794,0.03317693648,0.03877444987,0.03417152148,0.02864045734
10.94,0.65835725,0.01976542897,0.03753975083,0.03356065092,0.03940347935,0.03488289887,0.02951233584
10.95,0.65835725,0.02067235101,0.03796071632,0.03415016491,0.04014659001,0.03574917424,0.0306066793
10.96,0.65835725,0.02164826222,0.03867859016,0.03499310165,0.04096929034,0.03683648491,0.03176666272
10.97,0.65551022,0.02277621298,0.03965910717,0.03604796486,0.04184048796,0.03798901369,0.03301434433
10.98,0.65551022,0.0240669207,0.04076696977,0.03722184442,0.04273690534,0.03922867708,0.03423817966
10.99,0.65551022,0.02543673335,0.04188216749,0.03842220257,0.04362940415,0.04046674608,0.03534944493
11,0.65408671,0.02669259865,0.04293260856,0.03954876007,0.04446585187,0.04154877116,0.03628190808
11.01,0.65408671,0.02770060366,0.04384717372,0.0404765076,0.04516812773,0.0423650078,0.03694740129
11.02,0.65479847,0.02837203297,0.04450503131,0.04107618806,0.04563939883,0.04278388596,0.0373908115
11.03,0.65479847,0.02859574827,0.04475714027,0.04125436403,0.04577739584,0.04273980047,0.03750163598
11.04,0.65479847,0.02850626833,0.04447158507,0.04096908961,0.04548555444,0.04225473822,0.03727997682
11.05,0.65693373,0.02790208296,0.04361484795,0.04022923297,0.04472014479,0.04130597081,0.03672561449
11.06,0.65693373,0.02687185755,0.04225245077,0.03906472422,0.04352717066,0.04011317278,0.03590458391
11.07,0.65693373,0.02543671268,0.04050996552,0.03752589113,0.04201865744,0.03874184486,0.03479395815
11.08,0.66191602,0.02384215723,0.03856688571,0.03572530932,0.04034516186,0.03727989515,0.03350404345
11.09,0.66191602,0.02226526636,0.03660193033,0.03382572685,0.03862315569,0.03579352442,0.03201184307
11.1,0.666542435,0.02080308583,0.0347421076,0.03197056757,0.03691580706,0.03426037516,0.03042803849
11.11,0.66654244,0.01947644772,0.03303500791,0.03024003137,0.0352667434,0.03265799212,0.02877456396
11.12,0.666542435,0.01826782496,0.0314676237,0.02865537127,0.03371499013,0.03107525554,0.02725268339
11.13,0.66654244,0.01715502688,0.03003595761,0.02724105589,0.0323064784,0.02966870441,0.0258630166
11.14,0.666542435,0.01617463531,0.02879205998,0.02605300644,0.03107485894,0.02850622713,0.02480824796
11.15,0.661916025,0.01535878598,0.0278094101,0.02512976238,0.03003242384,0.02758866613,0.02393214335
11.16,0.661916025,0.01471469349,0.02711948405,0.02444152353,0.0291748662,0.02687190914,0.02323518304
11.17,0.661916025,0.01418821736,0.02666598097,0.02387888905,0.02847337325,0.02622188539,0.02263899615
11.18,0.66120427,0.01369552312,0.02632548721,0.02331974842,0.02786337238,0.02559386501,0.02203343484
11.19,0.66120427,0.01319576441,0.02600034707,0.02270943143,0.02727515928,0.02494298912,0.02140045953
11.2,0.66120427,0.01267074588,0.02565580434,0.02206518432,0.02667202269,0.02429168415,0.02079187993
11.21,0.6436476267,0.01214772402,0.02530373393,0.02143448506,0.02608847374,0.02372986349,0.02028670047
11.22,0.6436476267,0.01165628742,0.02494637212,0.02084847235,0.02559163508,0.02332515365,0.01992344256
11.23,0.64008885,0.01124657137,0.02455900634,0.02032527326,0.02522428293,0.02303275822,0.01971354822
11.24,0.6400888467,0.01093917362,0.02412272698,0.01989319956,0.02495131455,0.02285277556,0.01959391036
11.25,0.6400888467,0.01075696688,0.02366827026,0.01960271295,0.02470117428,0.02267726712,0.01949909201
11.26,0.639851595,0.01066357263,0.0232741044,0.01948915849,0.02440536805,0.02245895649,0.01938394278
11.27,0.639851595,0.0106043421,0.02299901664,0.01952234602,0.02404857434,0.02220457396,0.01923716462
11.28,0.63131053,0.01052004604,0.02283433115,0.01961219573,0.0236403942,0.02192535341,0.01906551916
